outer_width,inner_width,outer_height,inner_height,mass,deflection,rotation,Iy,Ix,A,m,j,sigma_y,norm_mass,norm_deflection,norm_rotation,composite_score
0.03,0.023999999999999987,0.09,0.05899999999999996,9.880380000000011,0.0049971565935914624,0.29699372149663505,1.345320000000001e-07,1.4117420000000007e-06,0.0012840000000000015,9.880380000000011,3.0450358021444505e-07,23255465.58790486,0.9661835748792138,1.0,0.3498650213452888,5.24841574598293
0.03,0.024999999999999988,0.09,0.05699999999999996,9.811125000000011,0.004910411299479266,0.3438462305644063,1.2828125000000012e-07,1.4366812500000007e-06,0.0012750000000000014,9.811125000000011,2.630119031652364e-07,22851775.576524008,0.944444444444431,0.941448004107915,0.4130947116470387,5.129324053196163
0.03,0.024999999999999988,0.09,0.05799999999999996,9.618750000000011,0.00498207119295912,0.34196784288703186,1.269791666666668e-07,1.4160166666666674e-06,0.0012500000000000013,9.618750000000011,2.6445659548992254e-07,23185262.061416402,0.8840579710144785,0.9898175419785549,0.4105597380998332,5.0423687351003785
0.03,0.02599999999999999,0.09,0.053999999999999965,9.972720000000011,0.004762413080526391,0.41783307129227076,1.2340800000000012e-07,1.4813280000000007e-06,0.0012960000000000014,9.972720000000011,2.1643966863905368e-07,22163030.402449682,0.995169082125591,0.8415510448912392,0.5129434736175214,5.181552809776773
0.03,0.02599999999999999,0.09,0.054999999999999966,9.77265000000001,0.0048253045940977795,0.4153206106868725,1.2194333333333347e-07,1.4620208333333342e-06,0.0012700000000000012,9.77265000000001,2.1774900924702817e-07,22455711.130427334,0.9323671497584399,0.8840020352529306,0.5095527884837777,5.074658308264959
0.03,0.02599999999999999,0.09,0.05599999999999996,9.572580000000011,0.0048923039991830754,0.41286584062056725,1.204786666666668e-07,1.4419986666666676e-06,0.0012440000000000014,9.572580000000011,2.1904367617579073e-07,22767508.915865835,0.8695652173912899,0.9292258013543222,0.5062399594775452,4.973387214360059
0.03,0.02599999999999999,0.09,0.05699999999999996,9.37251000000001,0.0049637314261017675,0.41046964943608727,1.1901400000000014e-07,1.4212485000000006e-06,0.0012180000000000014,9.37251000000001,2.203223834482763e-07,23099913.561914038,0.8067632850241394,0.9774384271841012,0.5030061854596096,4.87817289490023
0.03,0.02699999999999999,0.09,0.05199999999999997,9.97272000000001,0.004683982442275975,0.539286599013004,1.1720700000000012e-07,1.5061320000000003e-06,0.0012960000000000011,9.97272000000001,1.6769497269624615e-07,21798034.63441451,0.9951690821255904,0.7886113384131872,0.676850788223208,5.239580711426353
0.03,0.02699999999999999,0.09,0.052999999999999964,9.764955000000011,0.004742567381561372,0.5358418002911948,1.1556675000000012e-07,1.4875267500000006e-06,0.0012690000000000012,9.764955000000011,1.6877304355089755e-07,22070673.68704461,0.9299516908212424,0.8281554446322511,0.6722018684392792,5.118367830167508
0.03,0.02699999999999999,0.09,0.053999999999999965,9.557190000000011,0.004804976851851849,0.532464530086868,1.1392650000000013e-07,1.4682060000000008e-06,0.0012420000000000013,9.557190000000011,1.6984352268907605e-07,22361111.111111097,0.8647342995168937,0.8702810617677336,0.6676440816028043,5.002409103688953
